game,market,player,line,odds_over,odds_under
sacramento-kings-@-indiana-pacers-35036255,points rebounds assists,Russell Westbrook,26.5,-122.0,-104.0
sacramento-kings-@-indiana-pacers-35036255,points rebounds assists,Pascal Siakam,36.5,-108.0,-118.0
sacramento-kings-@-indiana-pacers-35036255,points rebounds assists,Bennedict Mathurin,30.5,-113.0,-113.0
sacramento-kings-@-indiana-pacers-35036255,points rebounds assists,Andrew Nembhard,26.5,-113.0,-113.0
sacramento-kings-@-indiana-pacers-35036255,points rebounds assists,T.J. McConnell,16.5,-128.0,100.0
sacramento-kings-@-indiana-pacers-35036255,points rebounds,Zach LaVine,24.5,-118.0,-108.0
sacramento-kings-@-indiana-pacers-35036255,points rebounds,DeMar DeRozan,22.5,-120.0,-106.0
sacramento-kings-@-indiana-pacers-35036255,points rebounds,Keegan Murray,22.5,-122.0,-104.0
sacramento-kings-@-indiana-pacers-35036255,points rebounds,Russell Westbrook,19.5,-118.0,-108.0
sacramento-kings-@-indiana-pacers-35036255,points rebounds,Maxime Raynaud,19.5,-108.0,-118.0
sacramento-kings-@-indiana-pacers-35036255,points rebounds,Pascal Siakam,32.5,-111.0,-115.0
sacramento-kings-@-indiana-pacers-35036255,points rebounds,Bennedict Mathurin,27.5,-115.0,-111.0
sacramento-kings-@-indiana-pacers-35036255,points rebounds,Andrew Nembhard,19.5,-106.0,-120.0
sacramento-kings-@-indiana-pacers-35036255,points rebounds,Jay Huff,15.5,-125.0,-102.0
